Distrito,Dirección,Tipo.de.Inmueble,Descripción,Habitaciones.Disponibles,Precio.Mensual,Notas,tiempo.manejo,metros.manejo,tiempo.caminata,metros.caminata,Piso
Lepanto,Via Montesanto,1,"Ingresso, 3 camere, cucina, bagno",3 singola,"€ 550; € 500; € 450; condominio, acqua e riscaldamento",disponibile per ragazzi/ragazze Metro A Lepanto,15053,406632,284843,377749,4°
Magliana,Via Biagio a Ripoli,1,"Ingresso, 2 camere, cucina bagno, terrazzo",intero appartamento,"€ 850; condominio, acqua e riscaldamento inclusi",disponibile dal 10 Marzo per ragazzi/ragazze Metro B Eur- Magliana Autobus 128 Stazione Villa Bonelli/Piramide Ostiense,12099,345181,245076,329230,1°
Magliana,Via della Magliana Nuova 342,1,"ingresso con cucina/living, 2 camere, 2 bagni, ripostiglio, terrazzo",Intero appartamento,€ 1000; spese escluse,disponibile per ragazzi/ragazze Metro B Eur- Magliana Autobus 128 Stazione Villa Bonelli/Piramide Ostiense,1725,39215,10085,13433,T
Magliana,Via della Magliana Nuova 342,1,"ingresso cucina/living, camera, bagno, terrazzo",Intero appartamento,€ 700; spese escluse,disponibile per ragazzi/ragazze Metro B Eur- Magliana Autobus 128 Stazione Villa Bonelli/Piramide Ostiense,1725,39215,10085,13433,T
Magliana,Via della Magliana Nuova 342,1,"ingresso con cucina/living, 3 camere, 2 bagni, ripostiglio, terrazzo",Intero appartamento,€ 1300; spese escluse,disponibile per ragazzi/ragazze Metro B Eur- Magliana Autobus 128 Stazione Villa Bonelli/Piramide Ostiense,1725,39215,10085,13433,T
Monteverde / Trastevere,Via Monte Verde,1,"Ingresso, 3 camere, cucina, bagno",3 singole,"€425; € 450; € 475; condominio, acqua e riscaldamento",disponibile per ragazzi/ragazze Stazione Quattro Venti,1979,17841,7656,10187,1°
Monteverde / Trastevere,Via Cesare Pascarella,1,"Ingresso - Sub - Ingresso in comune, ingresso indipendente, camera, cucina e bagno",Intero appartamento,"€ 750; condominio, acqua, riscaldamento e tassa rfiuti inclusi",disponibile dal 20 febbraio per ragazzi/ragazze Metro B Piramide Tram 8 Stazione Trastevere,1979,17841,7656,10187,1°
Monteverde / Trastevere,Via Ascanio Fenizi,1,"Ingresso, 2 camere, cucina e bagno",2 singole,€ 410; spese escluse,disponibile dal 20 Febbraio per ragazzi/ragazze Autobus 23 - 769 - 128 - 710 - 775 ﾖ n. 2 ﾖ Stazione Trastevere,1979,17841,7656,10187,2°
Ostiense / San Paolo,Via Antonino Pio F19/20,1,"Ingresso con cucina/living, 5 camera e 2 bagni",1 singola,"€ 410; condominio, acqua e riscaldamento inclusi",disponibile per ragazze/ragazzi Metro B San Paolo,15657,447278,342952,455659,6°
Ostiense / San Paolo,Via Gabriello Chiabrera,1,"Ingresso cucina abitbile, camera e bagno",Intero appartamento,"€ 800; condominio, acqua e riscaldamento inclusi",disponibile dal 01 Marzo per ragazze/ragazzi Metro B San Paolo,13780,357517,223804,292035,5°
Ostiense / San Paolo,via Ostiense 224,1,"Ingresso, 3 camere, cucina abitabile, 2 bagni",1 singola,€ 550 TUTTO INCLUSO,disponibile per ragazze Metro B San Paolo Autobus 716 - 766 -770,1907,18083,8708,11699,7°
Ostiense / San Paolo,via Ostiense 459,1,"Ingresso, soggiorno, 3 camere, cucina abitabile, 2 bagni, terrazzo",1 posto letto,€ 300; spese escluse,disponibile per ragazzi Metro B San Paolo,1907,18083,8708,11699,1°
Ostiense / San Paolo,Via della Villa Lucina,1,"Ingresso, soggiorno, 4 camere, cucina, bagno",1 singola,€ 400; spese escluse,disponibile dal 1ﾰ Marzo per ragazze Metro B San Paolo,1872,17709,9071,12174,8°
Ostiense / San Paolo,Largo Luigi Antonelli,1,"Ingresso, cucina/living, 4 camere, 3 bagni",1 singola,"€ 480; condominio, acqua, tassa rifiuti e internet inclusi",disponibile dal 1ﾰ Marzo per ragazzi Metro B Garbatella,1857,18354,9839,13132,11°
Ostiense / Garbatella,Via Cristoforo Colombo 348,1,"Ingresso, soggiorno, 3 camere, cucina, 2 bagni",3 singole,"€ 480; condominio, acqua e tassa rifiuti inclusi",disponibile per ragazze/ragazzi Metro B Garbatella,1570,15882,8220,10847,8°
Ostiense / Garbatella,Via Pellegrino Matteucci,1,"Ingresso, 3 camere, cucina/living, 2 bagni",1 singola,€ 450; spese escluse,disponibile per ragazzi/ragazze Metro B Garbatella,1570,15882,8220,10847,5°
